energy_index,E_center_MeV,sim_particles,root_file_pattern,n_root_files,budget_mode,E_in_expected_MeV,E_deposited_MeV,E_not_deposited_MeV,E_escaped_MeV,E_escaped_back_MeV,E_escaped_forward_MeV,E_escaped_lateral_MeV,closure_from_event_tree_MeV,expected_closure_MeV,deposited_fraction,deposited_plus_escaped_fraction,n_events,event_coverage_vs_sim_particles,n_escaped_tracks,n_escaped_electrons,n_step_entries,status,error
0,0.00291062424,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00000_0p00291062424MeV.root,1,exact_event_tree,2.91062424,2.72778775,0.182836492,0.182706462,0.0828052859,1.79185345e-05,0.0998832575,0.000125789543,0.000130029543,0.937183066,0.999955326,1000,1,106635,106635,0,ok,
1,0.00292969248,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00001_0p00292969248MeV.root,0,,2.92969248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
2,0.00294888565,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00002_0p00294888565MeV.root,0,,2.94888565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
3,0.00296820455,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00003_0p00296820455MeV.root,0,,2.96820455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
4,0.00298765002,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00004_0p00298765002MeV.root,0,,2.98765002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
5,0.00300722288,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00005_0p00300722288MeV.root,0,,3.00722288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
6,0.00302692396,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00006_0p00302692396MeV.root,0,,3.02692396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
7,0.00304675411,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00007_0p00304675411MeV.root,0,,3.04675411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
8,0.00306671418,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00008_0p00306671418MeV.root,0,,3.06671418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
9,0.00308680501,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00009_0p00308680501MeV.root,0,,3.08680501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
10,0.00310702745,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00010_0p00310702745MeV.root,0,,3.10702745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
11,0.00312738238,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00011_0p00312738238MeV.root,0,,3.12738238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
12,0.00314787067,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00012_0p00314787067MeV.root,0,,3.14787067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
13,0.00316849317,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00013_0p00316849317MeV.root,0,,3.16849317,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
14,0.00318925078,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00014_0p00318925078MeV.root,0,,3.18925078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
15,0.00321014437,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00015_0p00321014437MeV.root,0,,3.21014437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
16,0.00323117485,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00016_0p00323117485MeV.root,0,,3.23117485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
17,0.0032523431,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00017_0p0032523431MeV.root,0,,3.2523431,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
18,0.00327365003,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00018_0p00327365003MeV.root,0,,3.27365003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
19,0.00329509655,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00019_0p00329509655MeV.root,0,,3.29509655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
20,0.00331668357,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00020_0p00331668357MeV.root,0,,3.31668357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
21,0.00333841201,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00021_0p00333841201MeV.root,0,,3.33841201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
22,0.0033602828,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00022_0p0033602828MeV.root,0,,3.3602828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
23,0.00338229687,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00023_0p00338229687MeV.root,0,,3.38229687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
24,0.00340445516,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00024_0p00340445516MeV.root,0,,3.40445516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
25,0.00342675862,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00025_0p00342675862MeV.root,0,,3.42675862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
26,0.00344920819,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00026_0p00344920819MeV.root,0,,3.44920819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
27,0.00347180483,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00027_0p00347180483MeV.root,0,,3.47180483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
28,0.00349454952,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00028_0p00349454952MeV.root,0,,3.49454952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
29,0.0035174432,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00029_0p0035174432MeV.root,0,,3.5174432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
30,0.00354048687,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00030_0p00354048687MeV.root,0,,3.54048687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
31,0.0035636815,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00031_0p0035636815MeV.root,0,,3.5636815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
32,0.00358702809,1000,/Users/yoffegid/Weizmann Institute Dropbox/Gidi Yoffe/Eureka Science/Code/geant4_projects/dnaphysics-ice/europa_energy_library/root/dna_ice_am_rho0p5_E00032_0p00358702809MeV.root,0,,3.58702809,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,0,missing_root,
