energy_index,E_low_MeV,E_high_MeV,E_center_MeV,dE_MeV,sim_particles,macro_relpath,root_basename,root_relpath,dna_physics,density_gcm3
0,0.00290113671,0.0029201428,0.00291062424,1.90060878e-05,1000,macros/europa_E00000_0p00291062424MeV.mac,dna_ice_am_rho0p5_E00000_0p00291062424MeV,root/dna_ice_am_rho0p5_E00000_0p00291062424MeV.root,ice_am,0.5
1,0.0029201428,0.0029392734,0.00292969248,1.91306015e-05,1000,macros/europa_E00001_0p00292969248MeV.mac,dna_ice_am_rho0p5_E00001_0p00292969248MeV,root/dna_ice_am_rho0p5_E00001_0p00292969248MeV.root,ice_am,0.5
2,0.0029392734,0.00295852933,0.00294888565,1.9255931e-05,1000,macros/europa_E00002_0p00294888565MeV.mac,dna_ice_am_rho0p5_E00002_0p00294888565MeV,root/dna_ice_am_rho0p5_E00002_0p00294888565MeV.root,ice_am,0.5
3,0.00295852933,0.00297791141,0.00296820455,1.93820815e-05,1000,macros/europa_E00003_0p00296820455MeV.mac,dna_ice_am_rho0p5_E00003_0p00296820455MeV,root/dna_ice_am_rho0p5_E00003_0p00296820455MeV.root,ice_am,0.5
4,0.00297791141,0.00299742047,0.00298765002,1.95090585e-05,1000,macros/europa_E00004_0p00298765002MeV.mac,dna_ice_am_rho0p5_E00004_0p00298765002MeV,root/dna_ice_am_rho0p5_E00004_0p00298765002MeV.root,ice_am,0.5
5,0.00299742047,0.00301705734,0.00300722288,1.96368673e-05,1000,macros/europa_E00005_0p00300722288MeV.mac,dna_ice_am_rho0p5_E00005_0p00300722288MeV,root/dna_ice_am_rho0p5_E00005_0p00300722288MeV.root,ice_am,0.5
6,0.00301705734,0.00303682285,0.00302692396,1.97655134e-05,1000,macros/europa_E00006_0p00302692396MeV.mac,dna_ice_am_rho0p5_E00006_0p00302692396MeV,root/dna_ice_am_rho0p5_E00006_0p00302692396MeV.root,ice_am,0.5
7,0.00303682285,0.00305671785,0.00304675411,1.98950023e-05,1000,macros/europa_E00007_0p00304675411MeV.mac,dna_ice_am_rho0p5_E00007_0p00304675411MeV,root/dna_ice_am_rho0p5_E00007_0p00304675411MeV.root,ice_am,0.5
8,0.00305671785,0.00307674319,0.00306671418,2.00253396e-05,1000,macros/europa_E00008_0p00306671418MeV.mac,dna_ice_am_rho0p5_E00008_0p00306671418MeV,root/dna_ice_am_rho0p5_E00008_0p00306671418MeV.root,ice_am,0.5
9,0.00307674319,0.00309689972,0.00308680501,2.01565307e-05,1000,macros/europa_E00009_0p00308680501MeV.mac,dna_ice_am_rho0p5_E00009_0p00308680501MeV,root/dna_ice_am_rho0p5_E00009_0p00308680501MeV.root,ice_am,0.5
10,0.00309689972,0.0031171883,0.00310702745,2.02885813e-05,1000,macros/europa_E00010_0p00310702745MeV.mac,dna_ice_am_rho0p5_E00010_0p00310702745MeV,root/dna_ice_am_rho0p5_E00010_0p00310702745MeV.root,ice_am,0.5
11,0.0031171883,0.0031376098,0.00312738238,2.0421497e-05,1000,macros/europa_E00011_0p00312738238MeV.mac,dna_ice_am_rho0p5_E00011_0p00312738238MeV,root/dna_ice_am_rho0p5_E00011_0p00312738238MeV.root,ice_am,0.5
12,0.0031376098,0.00315816508,0.00314787067,2.05552834e-05,1000,macros/europa_E00012_0p00314787067MeV.mac,dna_ice_am_rho0p5_E00012_0p00314787067MeV,root/dna_ice_am_rho0p5_E00012_0p00314787067MeV.root,ice_am,0.5
13,0.00315816508,0.00317885503,0.00316849317,2.06899463e-05,1000,macros/europa_E00013_0p00316849317MeV.mac,dna_ice_am_rho0p5_E00013_0p00316849317MeV,root/dna_ice_am_rho0p5_E00013_0p00316849317MeV.root,ice_am,0.5
14,0.00317885503,0.00319968052,0.00318925078,2.08254914e-05,1000,macros/europa_E00014_0p00318925078MeV.mac,dna_ice_am_rho0p5_E00014_0p00318925078MeV,root/dna_ice_am_rho0p5_E00014_0p00318925078MeV.root,ice_am,0.5
15,0.00319968052,0.00322064245,0.00321014437,2.09619246e-05,1000,macros/europa_E00015_0p00321014437MeV.mac,dna_ice_am_rho0p5_E00015_0p00321014437MeV,root/dna_ice_am_rho0p5_E00015_0p00321014437MeV.root,ice_am,0.5
16,0.00322064245,0.0032417417,0.00323117485,2.10992515e-05,1000,macros/europa_E00016_0p00323117485MeV.mac,dna_ice_am_rho0p5_E00016_0p00323117485MeV,root/dna_ice_am_rho0p5_E00016_0p00323117485MeV.root,ice_am,0.5
17,0.0032417417,0.00326297918,0.0032523431,2.12374781e-05,1000,macros/europa_E00017_0p0032523431MeV.mac,dna_ice_am_rho0p5_E00017_0p0032523431MeV,root/dna_ice_am_rho0p5_E00017_0p0032523431MeV.root,ice_am,0.5
18,0.00326297918,0.00328435579,0.00327365003,2.13766102e-05,1000,macros/europa_E00018_0p00327365003MeV.mac,dna_ice_am_rho0p5_E00018_0p00327365003MeV,root/dna_ice_am_rho0p5_E00018_0p00327365003MeV.root,ice_am,0.5
19,0.00328435579,0.00330587244,0.00329509655,2.15166538e-05,1000,macros/europa_E00019_0p00329509655MeV.mac,dna_ice_am_rho0p5_E00019_0p00329509655MeV,root/dna_ice_am_rho0p5_E00019_0p00329509655MeV.root,ice_am,0.5
20,0.00330587244,0.00332753006,0.00331668357,2.16576149e-05,1000,macros/europa_E00020_0p00331668357MeV.mac,dna_ice_am_rho0p5_E00020_0p00331668357MeV,root/dna_ice_am_rho0p5_E00020_0p00331668357MeV.root,ice_am,0.5
21,0.00332753006,0.00334932956,0.00333841201,2.17994995e-05,1000,macros/europa_E00021_0p00333841201MeV.mac,dna_ice_am_rho0p5_E00021_0p00333841201MeV,root/dna_ice_am_rho0p5_E00021_0p00333841201MeV.root,ice_am,0.5
22,0.00334932956,0.00337127187,0.0033602828,2.19423136e-05,1000,macros/europa_E00022_0p0033602828MeV.mac,dna_ice_am_rho0p5_E00022_0p0033602828MeV,root/dna_ice_am_rho0p5_E00022_0p0033602828MeV.root,ice_am,0.5
23,0.00337127187,0.00339335793,0.00338229687,2.20860633e-05,1000,macros/europa_E00023_0p00338229687MeV.mac,dna_ice_am_rho0p5_E00023_0p00338229687MeV,root/dna_ice_am_rho0p5_E00023_0p00338229687MeV.root,ice_am,0.5
