energy_index,E_low_MeV,E_high_MeV,E_center_MeV,dE_MeV,sim_particles,macro_relpath,root_basename,root_relpath,dna_physics,density_gcm3
0,0.01,0.0101157945,0.0100577306,0.000115794543,1000,macros/europa_E00000_0p0100577306MeV.mac,dna_ice_am_rho0p5_E00000_0p0100577306MeV,root/dna_ice_am_rho0p5_E00000_0p0100577306MeV.root,ice_am,0.5
1,0.0101157945,0.0102329299,0.0101741937,0.00011713538,1000,macros/europa_E00001_0p0101741937MeV.mac,dna_ice_am_rho0p5_E00001_0p0101741937MeV,root/dna_ice_am_rho0p5_E00001_0p0101741937MeV.root,ice_am,0.5
2,0.0102329299,0.0103514217,0.0102920053,0.000118491744,1000,macros/europa_E00002_0p0102920053MeV.mac,dna_ice_am_rho0p5_E00002_0p0102920053MeV,root/dna_ice_am_rho0p5_E00002_0p0102920053MeV.root,ice_am,0.5
3,0.0103514217,0.0104712855,0.0104111811,0.000119863814,1000,macros/europa_E00003_0p0104111811MeV.mac,dna_ice_am_rho0p5_E00003_0p0104111811MeV,root/dna_ice_am_rho0p5_E00003_0p0104111811MeV.root,ice_am,0.5
4,0.0104712855,0.0105925373,0.0105317369,0.000121251771,1000,macros/europa_E00004_0p0105317369MeV.mac,dna_ice_am_rho0p5_E00004_0p0105317369MeV,root/dna_ice_am_rho0p5_E00004_0p0105317369MeV.root,ice_am,0.5
5,0.0105925373,0.0107151931,0.0106536886,0.000122655801,1000,macros/europa_E00005_0p0106536886MeV.mac,dna_ice_am_rho0p5_E00005_0p0106536886MeV,root/dna_ice_am_rho0p5_E00005_0p0106536886MeV.root,ice_am,0.5
6,0.0107151931,0.0108392691,0.0107770525,0.000124076088,1000,macros/europa_E00006_0p0107770525MeV.mac,dna_ice_am_rho0p5_E00006_0p0107770525MeV,root/dna_ice_am_rho0p5_E00006_0p0107770525MeV.root,ice_am,0.5
7,0.0108392691,0.010964782,0.0109018449,0.000125512821,1000,macros/europa_E00007_0p0109018449MeV.mac,dna_ice_am_rho0p5_E00007_0p0109018449MeV,root/dna_ice_am_rho0p5_E00007_0p0109018449MeV.root,ice_am,0.5
8,0.010964782,0.0110917482,0.0110280823,0.000126966191,1000,macros/europa_E00008_0p0110280823MeV.mac,dna_ice_am_rho0p5_E00008_0p0110280823MeV,root/dna_ice_am_rho0p5_E00008_0p0110280823MeV.root,ice_am,0.5
9,0.0110917482,0.0112201845,0.0111557815,0.00012843639,1000,macros/europa_E00009_0p0111557815MeV.mac,dna_ice_am_rho0p5_E00009_0p0111557815MeV,root/dna_ice_am_rho0p5_E00009_0p0111557815MeV.root,ice_am,0.5
10,0.0112201845,0.0113501082,0.0112849594,0.000129923614,1000,macros/europa_E00010_0p0112849594MeV.mac,dna_ice_am_rho0p5_E00010_0p0112849594MeV,root/dna_ice_am_rho0p5_E00010_0p0112849594MeV.root,ice_am,0.5
11,0.0113501082,0.0114815362,0.011415633,0.000131428058,1000,macros/europa_E00011_0p011415633MeV.mac,dna_ice_am_rho0p5_E00011_0p011415633MeV,root/dna_ice_am_rho0p5_E00011_0p011415633MeV.root,ice_am,0.5
12,0.0114815362,0.0116144861,0.0115478198,0.000132949923,1000,macros/europa_E00012_0p0115478198MeV.mac,dna_ice_am_rho0p5_E00012_0p0115478198MeV,root/dna_ice_am_rho0p5_E00012_0p0115478198MeV.root,ice_am,0.5
