pair,r_angstrom,single_configuration_g,epsr_mean_g
OO,0.015,0.0,0.0
OO,0.045,0.0,0.0
OO,0.075,0.0,0.0
OO,0.105,0.0,0.0
OO,0.135,0.0,0.0
OO,0.16499999999999998,0.0,0.0
OO,0.195,0.0,0.0
OO,0.22499999999999998,0.0,0.0
OO,0.255,0.0,0.0
OO,0.28500000000000003,0.0,0.0
OO,0.31499999999999995,0.0,0.0
OO,0.345,0.0,0.0
OO,0.375,0.0,0.0
OO,0.405,0.0,0.0
OO,0.43499999999999994,0.0,0.0
OO,0.46499999999999997,0.0,0.0
OO,0.495,0.0,0.0
OO,0.525,0.0,0.0
OO,0.5549999999999999,0.0,0.0
OO,0.585,0.0,0.0
OO,0.615,0.0,0.0
OO,0.645,0.0,0.0
OO,0.6749999999999999,0.0,0.0
OO,0.705,0.0,0.0
OO,0.735,0.0,0.0
OO,0.765,0.0,0.0
OO,0.7949999999999999,0.0,0.0
OO,0.825,0.0,0.0
OO,0.855,0.0,0.0
OO,0.885,0.0,0.0
OO,0.9149999999999999,0.0,0.0
OO,0.945,0.0,0.0
OO,0.975,0.0,0.0
OO,1.005,0.0,0.0
OO,1.0350000000000001,0.0,0.0
OO,1.065,0.0,0.0
OO,1.095,0.0,0.0
OO,1.125,0.0,0.0
OO,1.1549999999999998,0.0,0.0
OO,1.185,0.0,0.0
OO,1.2149999999999999,0.0,0.0
OO,1.245,0.0,0.0
OO,1.275,0.0,0.0
OO,1.305,0.0,0.0
OO,1.335,0.0,0.0
OO,1.3649999999999998,0.0,0.0
OO,1.395,0.0,0.0
OO,1.4249999999999998,0.0,0.0
OO,1.455,0.0,0.0
OO,1.4849999999999999,0.0,0.0
OO,1.5150000000000001,0.0,0.0
OO,1.545,0.0,0.0
OO,1.575,0.0,0.0
OO,1.605,0.0,0.0
OO,1.6349999999999998,0.0,0.0
OO,1.665,0.0,0.0
OO,1.6949999999999998,0.0,0.0
OO,1.725,0.0,0.0
OO,1.755,0.0,0.0
OO,1.785,0.0,0.0
OO,1.815,0.0,0.0
OO,1.8449999999999998,0.0,0.0
OO,1.875,0.0,0.0
OO,1.9049999999999998,0.0,0.0
OO,1.935,0.0,0.0
OO,1.9649999999999999,0.0,0.0
OO,1.9949999999999999,0.0,0.0
OO,2.025,0.0,0.0
OO,2.0549999999999997,0.0,0.0
OO,2.085,0.0,0.0
OO,2.115,0.0,0.0
OO,2.145,0.0,0.0
OO,2.175,0.0,0.0
OO,2.205,0.0,0.0
OO,2.235,0.0,0.0
OO,2.2649999999999997,0.0,0.0
OO,2.295,0.0,0.0
OO,2.325,0.0,0.0
OO,2.355,0.0,0.00018931168819333406
OO,2.385,0.0,0.002619068142873309
OO,2.415,0.0,0.020486931450933395
OO,2.445,0.08523908844592323,0.0972312633179993
OO,2.4749999999999996,0.2587985091931486,0.3068032430599962
OO,2.505,0.658660579266833,0.7207835022266638
OO,2.535,1.453725508463756,1.3550205608800014
OO,2.565,2.4697993380124945,2.150581912933335
OO,2.5949999999999998,3.0351985312650536,3.0002823805333287
OO,2.625,3.9768708001778887,3.754608197866668
OO,2.655,4.489909621290699,4.272974920266664
OO,2.6849999999999996,4.570769800113971,4.490268054933332
OO,2.715,4.524084113643743,4.3802082734666685
OO,2.745,3.666825682231254,3.9901217169333325
OO,2.775,3.242409383210625,3.42718872646667
OO,2.8049999999999997,2.727274185466528,2.7948329595333417
OO,2.835,2.127434641274623,2.1884456882666656
OO,2.865,1.510603048484107,1.6600828625333288
OO,2.8949999999999996,1.0538602856906716,1.2398806094000046
OO,2.925,0.827206480018147,0.932532509946668
OO,2.955,0.7326882141645913,0.7123820860199996
OO,2.985,0.6163662787253898,0.5576118274266674
OO,3.0149999999999997,0.386165024104962,0.44966297908000114
OO,3.045,0.39691244164401407,0.37053487030666704
OO,3.075,0.34130341480563825,0.31257290125333326
OO,3.105,0.3053769258833517,0.2722740254266666
OO,3.135,0.26499573853480585,0.24689058748291615
OO,3.165,0.20912719219780238,0.22764181531000002
OO,3.195,0.24958993085812914,0.2125824726100001
OO,3.2249999999999996,0.2123056246310848,0.20478886859000003
OO,3.255,0.17100325652040665,0.20190080368
OO,3.285,0.21511443457210794,0.20268910395
OO,3.315,0.18547779918232155,0.20713148440999998
OO,3.3449999999999998,0.2226470698576447,0.21395678066999996
OO,3.375,0.22864772288284615,0.22463685517
OO,3.405,0.18556925214132625,0.2385697314499999
OO,3.4349999999999996,0.27831153909353995,0.25377210892999974
OO,3.465,0.28766041784501034,0.2738881641799998
OO,3.495,0.25956758892918963,0.2956207823800001
OO,3.525,0.2870642750484875,0.31931280590999994
OO,3.5549999999999997,0.36287971702607447,0.34531964547999977
OO,3.585,0.40529051096560736,0.37353624772999994
OO,3.6149999999999998,0.4809094883962777,0.40497208941999974
OO,3.6449999999999996,0.44745693650633145,0.4401251410599994
OO,3.675,0.47791120776821827,0.4776849209299997
OO,3.705,0.4743277198100166,0.5173663152299999
OO,3.735,0.5925551423205695,0.5626807975599996
OO,3.7649999999999997,0.5352195915239873,0.6085669297499996
OO,3.795,0.7233549599132323,0.6554490465499999
OO,3.825,0.6694843982742122,0.7080295694500004
OO,3.8549999999999995,0.784830236849129,0.7613374421999992
OO,3.885,0.799014870159578,0.8157033308599996
OO,3.915,0.8163681986109497,0.87276913231
OO,3.945,0.9495194430748768,0.9272730185599996
OO,3.9749999999999996,1.1000730133196894,0.9803461960399995
OO,4.005,1.0554157711467287,1.0358707087999999
OO,4.035,0.9876173802484688,1.0921710513
OO,4.0649999999999995,1.0861646242229575,1.147803145928468
OO,4.095,1.13445947207507,1.2027871144666664
OO,4.125,1.1878944653465147,1.2579142357999997
OO,4.154999999999999,1.259350863231352,1.3139267325333324
OO,4.1850000000000005,1.377134243421615,1.3648825616666678
OO,4.215,1.4978224283561654,1.4097316886770437
OO,4.244999999999999,1.5552759809946395,1.4510882979999988
OO,4.275,1.483955766593992,1.4923044497333342
OO,4.305,1.6405356765337757,1.5252137442666664
OO,4.335,1.4642518962811206,1.5497223896333332
OO,4.365,1.5392849277365193,1.5721468026732444
