projectile,target,projectile_energy_ev,area_quantile,theta_cm_rad
H,H,1000,0,3.1415926535897931
H,H,1000,9.5367431640625e-07,3.1159547096243303
H,H,1000,1.9073486328125e-06,3.1053371098063538
H,H,1000,3.814697265625e-06,3.090325182598304
H,H,1000,7.62939453125e-06,3.0691053609759327
H,H,1000,1.52587890625e-05,3.0391249475608038
H,H,1000,3.0517578125e-05,2.9968078661927944
H,H,1000,6.103515625e-05,2.9371919666778696
H,H,1000,0.0001220703125,2.8535237455089915
H,H,1000,0.00018310546875,2.78998814489512
H,H,1000,0.000244140625,2.736970781684493
H,H,1000,0.0003662109375,2.649344023825539
H,H,1000,0.00048828125,2.5769247377073872
H,H,1000,0.000732421875,2.4588463928667448
H,H,1000,0.0009765625,2.3629680767807013
H,H,1000,0.001220703125,2.2814912741741247
H,H,1000,0.00146484375,2.2103489391381839
H,H,1000,0.001953125,2.0900881019076767
H,H,1000,0.00244140625,1.9906155410019941
H,H,1000,0.0029296875,1.9058610617329772
H,H,1000,0.00341796875,1.8321587596529878
H,H,1000,0.00390625,1.7670931286125902
H,H,1000,0.00439453125,1.7089748507681792
H,H,1000,0.0048828125,1.6565700266142658
H,H,1000,0.005859375,1.5653837231007453
H,H,1000,0.0068359375,1.4882604101563202
H,H,1000,0.0078125,1.4218034318639134
H,H,1000,0.0087890625,1.3636933268605071
H,H,1000,0.009765625,1.3122759477105355
H,H,1000,0.0107421875,1.2663311734265115
H,H,1000,0.01171875,1.2249343253459477
H,H,1000,0.0126953125,1.1873688195136314
H,H,1000,0.013671875,1.1530688244086842
H,H,1000,0.015625,1.0925339701257717
H,H,1000,0.017578125,1.0406018965394206
H,H,1000,0.01953125,0.99539011328583982
H,H,1000,0.021484375,0.95555003782248216
H,H,1000,0.0234375,0.92008589187863565
H,H,1000,0.025390625,0.88824375270689337
H,H,1000,0.02734375,0.85944062978715374
H,H,1000,0.029296875,0.83321749376911747
H,H,1000,0.03125,0.80920722179878846
H,H,1000,0.03515625,0.76668800369146606
H,H,1000,0.0390625,0.73007487407660543
H,H,1000,0.04296875,0.69810385605851177
H,H,1000,0.046875,0.66986085457892397
H,H,1000,0.05078125,0.64466605656183251
H,H,1000,0.0546875,0.62200187896792958
H,H,1000,0.05859375,0.6014662988511108
H,H,1000,0.0625,0.58274162415532604
H,H,1000,0.06640625,0.56557300520358655
H,H,1000,0.0703125,0.54975328593334494
H,H,1000,0.078125,0.52150784414708706
H,H,1000,0.0859375,0.49695332381301549
H,H,1000,0.09375,0.47533885990833147
H,H,1000,0.1015625,0.4561121195297666
H,H,1000,0.109375,0.43885646034295789
H,H,1000,0.1171875,0.42325082097487599
H,H,1000,0.125,0.40904322016227646
H,H,1000,0.1328125,0.3960327221225084
H,H,1000,0.140625,0.38405684551397323
H,H,1000,0.15625,0.36269981262524942
H,H,1000,0.171875,0.34415512991882569
H,H,1000,0.1875,0.32784351909968912
H,H,1000,0.203125,0.31334112661227742
H,H,1000,0.21875,0.30032959876426801
H,H,1000,0.234375,0.28856447290302167
H,H,1000,0.25,0.27785443473034821
H,H,1000,0.265625,0.2680472839098349
H,H,1000,0.28125,0.25902018461787835
H,H,1000,0.3125,0.24292193899108261
H,H,1000,0.34375,0.22894400339599486
H,H,1000,0.375,0.21665057656852182
H,H,1000,0.40625,0.20572310544534256
H,H,1000,0.4375,0.19592243868439319
H,H,1000,0.46875,0.18706494381734506
H,H,1000,0.5,0.17900687521872882
H,H,1000,0.53125,0.17163381890780194
H,H,1000,0.5625,0.16485337140492851
H,H,1000,0.625,0.15278098365430415
H,H,1000,0.6875,0.1423255332331741
H,H,1000,0.75,0.13315773365238881
H,H,1000,0.8125,0.12503630594395299
H,H,1000,0.875,0.11777965421856518
H,H,1000,0.9375,0.11124798364418975
H,H,1000,1,0.10533158673993226
H,H,1100.6941712522091,0,3.1415926535897931
H,H,1100.6941712522091,9.5367431640625e-07,3.1134059394418947
H,H,1100.6941712522091,1.9073486328125e-06,3.1017332589975535
H,H,1100.6941712522091,3.814697265625e-06,3.0852304182485049
H,H,1100.6941712522091,7.62939453125e-06,3.0619055039801046
H,H,1100.6941712522091,1.52587890625e-05,3.028957566531624
H,H,1100.6941712522091,3.0517578125e-05,2.9824705685226776
H,H,1100.6941712522091,6.103515625e-05,2.917032473595782
H,H,1100.6941712522091,9.1552734375e-05,2.867137978878711
H,H,1100.6941712522091,0.0001220703125,2.8253378249449996
H,H,1100.6941712522091,0.00018310546875,2.7558553603654916
H,H,1100.6941712522091,0.000244140625,2.697995439993031
H,H,1100.6941712522091,0.0003662109375,2.6026465577669571
H,H,1100.6941712522091,0.00048828125,2.5241499923888009
H,H,1100.6941712522091,0.000732421875,2.3968478588955602
H,H,1100.6941712522091,0.0009765625,2.2941844201272863
H,H,1100.6941712522091,0.001220703125,2.207489285447207
H,H,1100.6941712522091,0.00146484375,2.1322300735399633
H,H,1100.6941712522091,0.001708984375,2.0656690305812351
H,H,1100.6941712522091,0.001953125,2.0059965704005682
H,H,1100.6941712522091,0.00244140625,1.9025649114629832
H,H,1100.6941712522091,0.0029296875,1.8151627174700511
H,H,1100.6941712522091,0.00341796875,1.7397110339659418
H,H,1100.6941712522091,0.00390625,1.6735325839952999
H,H,1100.6941712522091,0.00439453125,1.6147635273694732
H,H,1100.6941712522091,0.0048828125,1.5620492286024834
H,H,1100.6941712522091,0.00537109375,1.5143721244978334
