figure,observable,q,E_keV_u,pixel_x,pixel_y,value,digitization_uncertainty
12,scaled_sigma_SC_cm2,6,1,84.0,40.0,1.14879084e-13,0.12
12,scaled_sigma_SC_cm2,5,1,84.0,89.0,7.57736264e-15,0.12
12,scaled_sigma_SC_cm2,4,1,84.0,145.0,3.38938171e-16,0.12
12,scaled_sigma_SC_cm2,3,1,84.0,191.0,2.64050350e-17,0.12
12,scaled_sigma_SC_cm2,2,1,84.0,239.0,1.84102735e-18,0.12
12,scaled_sigma_SC_cm2,1,1,84.0,299.0,6.59594626e-20,0.12
12,scaled_sigma_SC_cm2,6,10,250.0,62.0,3.38938171e-14,0.12
12,scaled_sigma_SC_cm2,5,10,250.0,113.0,2.00080525e-15,0.12
12,scaled_sigma_SC_cm2,4,10,250.0,158.0,1.64765951e-16,0.12
12,scaled_sigma_SC_cm2,3,10,250.0,204.0,1.28361190e-17,0.12
12,scaled_sigma_SC_cm2,2,10,250.0,252.0,8.94967427e-19,0.12
12,scaled_sigma_SC_cm2,1,10,250.0,304.0,4.99798767e-20,0.12
12,scaled_sigma_SC_cm2,6,50,366.0,79.0,1.31972039e-14,0.12
12,scaled_sigma_SC_cm2,5,50,366.0,125.5,1.00000000e-15,0.12
12,scaled_sigma_SC_cm2,4,50,366.0,173.5,6.97225872e-17,0.12
12,scaled_sigma_SC_cm2,3,50,366.0,222.0,4.72823219e-18,0.12
12,scaled_sigma_SC_cm2,2,50,366.0,274.0,2.64050350e-19,0.12
12,scaled_sigma_SC_cm2,1,50,366.0,330.0,1.18110676e-20,0.12
12,scaled_sigma_SC_cm2,6,100,416.0,102.5,3.58275299e-15,0.12
12,scaled_sigma_SC_cm2,5,100,416.0,149.0,2.71478187e-16,0.12
12,scaled_sigma_SC_cm2,4,100,416.0,196.5,1.94606179e-17,0.12
12,scaled_sigma_SC_cm2,3,100,416.0,246.0,1.24849136e-18,0.12
12,scaled_sigma_SC_cm2,2,100,416.0,297.5,7.16839101e-20,0.12
12,scaled_sigma_SC_cm2,1,100,416.0,350.5,3.78715651e-21,0.12
12,scaled_sigma_SC_cm2,6,500,532.0,203.0,1.35684463e-17,0.12
12,scaled_sigma_SC_cm2,5,500,532.0,247.0,1.18110676e-18,0.12
12,scaled_sigma_SC_cm2,4,500,532.0,289.0,1.14879084e-19,0.12
12,scaled_sigma_SC_cm2,3,500,532.0,332.0,1.05705208e-20,0.12
12,scaled_sigma_SC_cm2,2,500,532.0,374.0,1.02813038e-21,0.12
12,scaled_sigma_SC_cm2,1,500,532.0,418.0,8.94967427e-23,0.12
12,scaled_sigma_SC_cm2,6,1000,582.0,263.0,4.86123916e-19,0.12
12,scaled_sigma_SC_cm2,5,1000,582.0,304.0,4.99798767e-20,0.12
12,scaled_sigma_SC_cm2,4,1000,582.0,343.0,5.74164246e-21,0.12
12,scaled_sigma_SC_cm2,3,1000,582.0,379.0,7.79051674e-22,0.12
12,scaled_sigma_SC_cm2,2,1000,582.0,419.0,8.46663511e-23,0.12
12,scaled_sigma_SC_cm2,1,1000,582.0,460.0,8.70480479e-24,0.12
13,sigma_SL_cm2,0,1,85.0,104.5,2.05708867e-16,0.08
13,sigma_SL_cm2,1,1,85.0,240.5,1.66296663e-17,0.08
13,sigma_SL_cm2,0,10,209.8,75.0,3.54977481e-16,0.08
13,sigma_SL_cm2,1,10,209.8,148.0,9.20143202e-17,0.08
13,sigma_SL_cm2,2,10,209.8,187.5,4.43186319e-17,0.08
13,sigma_SL_cm2,3,10,209.8,224.0,2.25638734e-17,0.08
13,sigma_SL_cm2,0,50,296.9,84.5,2.97780039e-16,0.08
13,sigma_SL_cm2,1,50,296.9,113.0,1.75784234e-16,0.08
13,sigma_SL_cm2,2,50,296.9,125.0,1.40797316e-16,0.08
13,sigma_SL_cm2,3,50,296.9,166.5,6.53523252e-17,0.08
13,sigma_SL_cm2,0,100,334.5,89.0,2.74000278e-16,0.08
13,sigma_SL_cm2,1,100,334.5,115.5,1.67841595e-16,0.08
13,sigma_SL_cm2,2,100,334.5,127.5,1.34435528e-16,0.08
13,sigma_SL_cm2,3,100,334.5,150.0,8.86729516e-17,0.08
13,sigma_SL_cm2,4,100,334.5,408.0,7.50761525e-19,0.08
13,sigma_SL_cm2,5,100,334.5,480.0,1.98238843e-19,0.08
13,sigma_SL_cm2,0,500,421.7,105.5,2.01939317e-16,0.08
13,sigma_SL_cm2,1,500,421.7,141.0,1.04732223e-16,0.08
13,sigma_SL_cm2,2,500,421.7,141.0,1.04732223e-16,0.08
13,sigma_SL_cm2,3,500,421.7,166.0,6.59594626e-17,0.08
13,sigma_SL_cm2,4,500,421.7,318.0,3.96637319e-18,0.08
13,sigma_SL_cm2,5,500,421.7,364.0,1.69400880e-18,0.08
13,sigma_SL_cm2,0,1000,459.2,116.5,1.64765951e-16,0.08
13,sigma_SL_cm2,1,1000,459.2,156.0,7.93594033e-17,0.08
13,sigma_SL_cm2,2,1000,459.2,157.0,7.79051674e-17,0.08
13,sigma_SL_cm2,3,1000,459.2,184.5,4.68471021e-17,0.08
13,sigma_SL_cm2,4,1000,459.2,271.5,9.37319280e-18,0.08
13,sigma_SL_cm2,5,1000,459.2,319.0,3.89369066e-18,0.08
13,sigma_SL_cm2,0,10000,584.0,164.0,6.84449429e-17,0.08
13,sigma_SL_cm2,1,10000,584.0,214.0,2.71478187e-17,0.08
13,sigma_SL_cm2,2,10000,584.0,220.0,2.42964134e-17,0.08
13,sigma_SL_cm2,3,10000,584.0,259.0,1.18110676e-17,0.08
13,sigma_SL_cm2,4,10000,584.0,305.0,5.04442007e-18,0.08
13,sigma_SL_cm2,5,10000,584.0,339.0,2.68979310e-18,0.08
14,equilibrium_fraction,0,1.2,78.2,171.6,0.6900,0.03
14,equilibrium_fraction,0,2,106.8,193.9,0.6470,0.03
14,equilibrium_fraction,0,3,129.4,238.4,0.5610,0.03
14,equilibrium_fraction,0,5,158.0,260.2,0.5190,0.03
14,equilibrium_fraction,0,10,196.8,290.7,0.4600,0.03
14,equilibrium_fraction,0,20,235.5,354.4,0.3370,0.03
14,equilibrium_fraction,0,30,258.2,407.3,0.2350,0.03
14,equilibrium_fraction,0,50,286.7,463.2,0.1270,0.03
14,equilibrium_fraction,0,70,305.6,502.1,0.0520,0.03
14,equilibrium_fraction,0,100,325.5,523.8,0.0100,0.03
14,equilibrium_fraction,1,1,68.0,384.0,0.2800,0.03
14,equilibrium_fraction,1,2,106.8,349.3,0.3470,0.03
14,equilibrium_fraction,1,3,129.4,330.6,0.3830,0.03
14,equilibrium_fraction,1,5,158.0,309.4,0.4240,0.03
14,equilibrium_fraction,1,10,196.8,290.7,0.4600,0.03
14,equilibrium_fraction,1,20,235.5,265.3,0.5090,0.03
14,equilibrium_fraction,1,30,258.2,266.9,0.5060,0.03
14,equilibrium_fraction,1,50,286.7,354.4,0.3370,0.03
14,equilibrium_fraction,1,70,305.6,384.0,0.2800,0.03
14,equilibrium_fraction,1,100,325.5,485.5,0.0840,0.03
14,equilibrium_fraction,1,150,348.2,519.2,0.0190,0.03
14,equilibrium_fraction,2,5,158.0,523.8,0.0100,0.03
14,equilibrium_fraction,2,10,196.8,503.1,0.0500,0.03
14,equilibrium_fraction,2,20,235.5,460.1,0.1330,0.03
14,equilibrium_fraction,2,30,258.2,416.1,0.2180,0.03
14,equilibrium_fraction,2,50,286.7,354.4,0.3370,0.03
14,equilibrium_fraction,2,70,305.6,334.8,0.3750,0.03
14,equilibrium_fraction,2,100,325.5,392.2,0.2640,0.03
14,equilibrium_fraction,2,150,348.2,503.1,0.0500,0.03
14,equilibrium_fraction,2,200,364.3,523.8,0.0100,0.03
14,equilibrium_fraction,3,30,258.2,518.6,0.0200,0.03
14,equilibrium_fraction,3,50,286.7,487.6,0.0800,0.03
14,equilibrium_fraction,3,70,305.6,435.8,0.1800,0.03
14,equilibrium_fraction,3,100,325.5,373.6,0.3000,0.03
14,equilibrium_fraction,3,150,348.2,321.8,0.4000,0.03
14,equilibrium_fraction,3,200,364.3,354.4,0.3370,0.03
14,equilibrium_fraction,3,300,386.9,446.1,0.1600,0.03
14,equilibrium_fraction,3,500,415.5,518.6,0.0200,0.03
14,equilibrium_fraction,3,700,434.3,526.4,0.0050,0.03
14,equilibrium_fraction,4,70,305.6,523.8,0.0100,0.03
14,equilibrium_fraction,4,100,325.5,487.6,0.0800,0.03
14,equilibrium_fraction,4,150,348.2,347.7,0.3500,0.03
14,equilibrium_fraction,4,200,364.3,158.1,0.7160,0.03
14,equilibrium_fraction,4,300,386.9,132.2,0.7660,0.03
14,equilibrium_fraction,4,500,415.5,348.7,0.3480,0.03
14,equilibrium_fraction,4,700,434.3,440.9,0.1700,0.03
14,equilibrium_fraction,4,1000,454.2,518.6,0.0200,0.03
14,equilibrium_fraction,5,150,348.2,523.8,0.0100,0.03
14,equilibrium_fraction,5,200,364.3,510.9,0.0350,0.03
14,equilibrium_fraction,5,300,386.9,451.3,0.1500,0.03
14,equilibrium_fraction,5,500,415.5,286.1,0.4690,0.03
14,equilibrium_fraction,5,700,434.3,390.2,0.2680,0.03
14,equilibrium_fraction,5,1000,454.2,515.5,0.0260,0.03
14,equilibrium_fraction,6,300,386.9,523.8,0.0100,0.03
14,equilibrium_fraction,6,500,415.5,295.9,0.4500,0.03
14,equilibrium_fraction,6,700,434.3,90.3,0.8470,0.03
14,equilibrium_fraction,6,1000,454.2,24.5,0.9740,0.03
14,equilibrium_fraction,6,2000,493.0,11.5,0.9990,0.03
